"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 30 19:32:24 IDT 2022","Mon May 30 19:32:25 IDT 2022","1579","Web Suite","Web tests","sanity.grafanaWeb","sanity.grafanaWeb","test04_VerifyUserDeletion","Test04 - Verify Deletion of user","This test verifies the deletion of a user"
"passed","Mon May 30 19:32:21 IDT 2022","Mon May 30 19:32:23 IDT 2022","2677","Web Suite","Web tests","sanity.grafanaWeb","sanity.grafanaWeb","test03_VerifyNewUser","Test03 - Verify New User","This test verifies a new user has been added"
"passed","Mon May 30 20:17:58 IDT 2022","Mon May 30 20:17:58 IDT 2022","255","Web Suite","Web tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test03_updateTeamAndVerify","Test03: update existing team and verify","update a team in grafana and verify it"
"passed","Mon May 30 19:32:26 IDT 2022","Mon May 30 19:32:26 IDT 2022","432","Web Suite","Web tests","sanity.grafanaWeb","sanity.grafanaWeb","test05_VerifyMainGuidelines","Test05 - Verify Main Guide lines","This test verifies That the main guidelines are displayed(using soft assertion"
"failed","Mon May 30 19:32:46 IDT 2022","Mon May 30 19:33:00 IDT 2022","13692","Web Suite","Web tests","sanity.grafanaWeb","sanity.grafanaWeb","test07_SearchUsers","Test07 - Search Users","This test searches users in a table using data driven testing"
"passed","Mon May 30 19:32:16 IDT 2022","Mon May 30 19:32:19 IDT 2022","2973","Web Suite","Web tests","sanity.grafanaWeb","sanity.grafanaWeb","test01_VerifyHeader","Test01 - Verify Header","This test login and verifies the main title"
"passed","Mon May 30 20:17:58 IDT 2022","Mon May 30 20:17:58 IDT 2022","247","Web Suite","Web tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test02_addTeamAndVerify","Test02: Add a team and verify","Add a team to grafana and verify it"
"passed","Mon May 30 19:32:19 IDT 2022","Mon May 30 19:32:20 IDT 2022","1455","Web Suite","Web tests","sanity.grafanaWeb","sanity.grafanaWeb","test02_VerifyDefaultUsers","Test02 - Verify Default Users","This test verifies the default users"
"passed","Mon May 30 20:17:52 IDT 2022","Mon May 30 20:17:57 IDT 2022","5319","Web Suite","Web tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test01_VerifyTeams","Test01: Get team from grafana","This test verify team property"
"passed","Mon May 30 19:32:28 IDT 2022","Mon May 30 19:32:42 IDT 2022","13249","Web Suite","Web tests","sanity.grafanaWeb","sanity.grafanaWeb","test07_SearchUsers","Test07 - Search Users","This test searches users in a table using data driven testing"
"failed","Mon May 30 19:32:26 IDT 2022","Mon May 30 19:32:28 IDT 2022","1812","Web Suite","Web tests","sanity.grafanaWeb","sanity.grafanaWeb","test06_VerifyAvatarIcon","Test06 - Verify Avatar Icon","This test verifies the avatar image using Sikuli tool"
"passed","Mon May 30 20:17:58 IDT 2022","Mon May 30 20:17:58 IDT 2022","231","Web Suite","Web tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test04_deleteTeamAndVerify","Test04: Delete existing team and verify","update a team in grafana and verify it"
"passed","Mon May 30 19:32:42 IDT 2022","Mon May 30 19:32:46 IDT 2022","3605","Web Suite","Web tests","sanity.grafanaWeb","sanity.grafanaWeb","test07_SearchUsers","Test07 - Search Users","This test searches users in a table using data driven testing"
